FRAME	XCENTER	YCENTER	BRIGHTNESS	BG	I0	S_X	S_Y	THETA	ECC
16	120.504	333.147	63267.347	593.972	1586.430	 2.212	 2.869	 1.298	 0.637
16	165.966	355.343	23667.684	499.720	409.208	 2.814	 3.271	 2.603	 0.510
17	31.182	55.441	44035.536	584.546	826.972	 2.753	 3.078	 0.734	 0.447
17	58.903	221.783	78502.627	684.722	6302.087	 1.392	 1.425	 2.586	 0.215
17	119.528	333.094	66591.560	626.546	1632.949	 2.267	 2.863	 1.067	 0.611
17	164.272	355.829	9198.322	589.637	611.580	 1.094	 2.188	 3.113	 0.866
17	451.534	160.664	7784.686	550.457	896.707	 0.905	 1.526	 2.363	 0.805
18	32.290	54.449	45762.407	638.807	1641.518	 1.868	 2.376	 0.322	 0.618
18	58.978	221.677	76165.540	665.330	6806.299	 1.290	 1.381	 0.562	 0.356
18	119.516	332.974	70563.829	604.310	2462.691	 1.885	 2.420	 1.366	 0.627
18	163.686	358.432	15398.818	541.306	650.979	 1.384	 2.720	 2.080	 0.861
19	34.384	51.387	28845.110	635.700	1784.091	 1.457	 1.766	 2.406	 0.565
19	59.146	221.850	23196.149	601.124	2602.586	 1.038	 1.367	 0.313	 0.651
19	73.034	98.731	7347.480	607.773	670.884	 0.809	 2.154	 0.163	 0.927
19	119.925	332.772	68942.990	610.311	1692.538	 2.317	 2.798	 1.553	 0.561
19	162.855	359.675	12601.913	557.318	744.706	 1.173	 2.296	 0.112	 0.860
19	345.874	104.772	4407.907	683.926	1211.833	 0.521	 1.112	 1.596	 0.884
19	417.186	229.199	8834.732	555.509	578.743	 1.550	 1.567	 2.648	 0.145
20	32.299	48.602	20607.810	606.429	1169.840	 1.576	 1.779	 0.803	 0.465
20	119.677	333.493	63006.453	651.431	2473.004	 1.930	 2.101	 1.184	 0.395
20	139.756	402.448	5384.193	542.497	801.848	 0.979	 1.091	 1.507	 0.442
21	31.541	49.628	24469.601	618.279	1163.486	 1.701	 1.968	 0.325	 0.503
21	69.323	101.685	12251.286	607.611	564.106	 1.587	 2.178	 1.772	 0.685
21	119.927	333.292	64534.080	649.907	2348.765	 1.897	 2.305	 1.086	 0.568
21	416.784	229.532	5451.560	592.033	1002.520	 0.785	 1.103	 0.931	 0.702
22	29.432	51.446	50067.777	601.937	2271.674	 1.793	 1.956	 0.525	 0.400
22	121.058	334.079	54383.051	629.281	2376.154	 1.767	 2.062	 1.575	 0.515
22	339.978	100.408	5776.296	690.005	1020.605	 0.691	 1.303	 1.187	 0.848
22	417.836	227.861	10557.142	569.316	591.742	 1.407	 2.018	 2.068	 0.717
23	30.125	52.500	46582.130	646.396	2308.967	 1.485	 2.162	 0.008	 0.727
23	122.503	333.999	55959.870	645.226	2219.172	 1.912	 2.099	 1.814	 0.412
24	29.060	49.299	32828.515	600.925	1422.559	 1.623	 2.263	 0.529	 0.697
24	122.651	334.059	55839.698	664.484	2501.916	 1.713	 2.074	 2.080	 0.564
25	29.070	49.658	30656.735	603.348	1396.356	 1.700	 2.056	 0.323	 0.563
25	122.695	333.313	57693.142	638.856	2082.137	 1.811	 2.435	 1.567	 0.669
26	27.971	50.144	35836.983	630.967	2540.372	 1.382	 1.625	 2.014	 0.526
26	77.825	91.985	7817.582	631.098	596.575	 1.105	 1.887	 0.138	 0.811
26	122.559	333.548	61871.017	604.508	2156.965	 1.990	 2.294	 1.121	 0.498
27	26.232	50.393	39942.833	659.079	2737.436	 1.438	 1.615	 1.777	 0.456
27	123.244	333.248	46212.668	667.878	1571.148	 2.147	 2.180	 2.348	 0.174
27	347.797	133.329	10740.554	624.768	497.072	 1.626	 2.115	 0.111	 0.640
28	26.674	51.952	58771.083	649.616	2995.207	 1.446	 2.159	 0.384	 0.743
28	123.101	333.273	47144.845	671.263	2626.932	 1.542	 1.853	 2.044	 0.554
28	450.615	160.087	7990.765	560.915	879.642	 0.942	 1.535	 0.185	 0.789
29	25.952	52.500	64459.554	627.062	2644.129	 1.895	 2.047	 2.601	 0.378
29	122.970	332.830	52261.405	644.451	2494.118	 1.725	 1.933	 0.564	 0.451
30	25.454	53.990	48294.393	643.431	3358.371	 1.401	 1.633	 1.549	 0.514
30	121.972	332.810	63586.284	565.914	1421.753	 2.310	 3.082	 1.355	 0.662
30	139.687	402.189	4846.373	555.149	1574.932	 0.355	 1.378	 0.346	 0.966
30	160.929	345.531	15035.946	618.195	703.225	 1.399	 2.433	 2.409	 0.818
31	26.052	52.924	56885.323	640.963	2705.130	 1.597	 2.096	 1.363	 0.648
31	64.858	231.509	9795.138	542.385	871.927	 1.058	 1.689	 2.221	 0.779
31	122.383	332.572	42846.305	615.009	1042.476	 2.184	 2.995	 1.431	 0.684
31	161.125	346.391	8875.197	650.561	951.543	 0.675	 2.199	 2.782	 0.952
32	23.824	50.358	45599.511	601.821	2384.454	 1.357	 2.243	 0.159	 0.796
32	64.454	232.034	13619.395	557.532	945.838	 1.342	 1.708	 2.456	 0.619
32	122.196	332.653	54686.072	628.889	1844.413	 2.069	 2.281	 1.176	 0.421
32	162.617	347.838	14847.404	559.705	755.130	 1.673	 1.871	 1.561	 0.448
32	418.747	228.278	7942.766	620.451	891.321	 0.769	 1.845	 2.804	 0.909
32	450.794	160.785	5880.737	553.839	793.752	 0.850	 1.387	 0.013	 0.790
33	23.195	47.437	20299.367	620.916	925.522	 1.849	 1.888	 1.894	 0.200
33	122.810	333.153	59307.078	602.964	1327.736	 2.661	 2.672	 2.225	 0.092
33	162.403	349.719	11953.925	561.807	604.089	 1.432	 2.200	 0.249	 0.759
34	24.254	45.880	25202.983	596.210	1019.360	 1.856	 2.120	 0.360	 0.483
34	121.241	333.277	46466.882	655.287	1609.051	 1.887	 2.436	 1.082	 0.632
35	22.753	45.396	16752.137	624.644	1857.685	 0.985	 1.457	 0.862	 0.736
35	120.309	333.252	41186.470	652.831	964.402	 2.388	 2.846	 0.283	 0.544
36	20.952	44.156	8520.009	639.807	1481.032	 0.723	 1.266	 2.820	 0.821
36	120.106	331.832	47967.554	595.591	616.212	 3.334	 3.716	 0.925	 0.442
37	19.739	43.444	16167.855	594.409	708.657	 1.675	 2.168	 0.792	 0.635
